Lokalizacja,Płeć,Wiek,Populacja
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,8,73
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,8,70
OSOWA,kobiety,8,111
OSOWA,mężczyźni,8,119
PIECKIIGOWO,kobiety,8,181
PIECKIIGOWO,mężczyźni,8,169
PRZERÓBKA,kobiety,8,24
PRZERÓBKA,mężczyźni,8,18
PRZYMORZE MAŁE,kobiety,8,54
PRZYMORZE MAŁE,mężczyźni,8,65
PRZYMORZE WIELKIE,kobiety,8,93
PRZYMORZE WIELKIE,mężczyźni,8,122
RUDNIKI,kobiety,8,4
RUDNIKI,mężczyźni,8,6
SIEDLCE,kobiety,8,66
SIEDLCE,mężczyźni,8,62
STOGI,kobiety,8,39
STOGI,mężczyźni,8,35
STRZYŻA,kobiety,8,26
STRZYŻA,mężczyźni,8,28
SUCHANINO,kobiety,8,50
SUCHANINO,mężczyźni,8,52
ŚRÓDMIEŚCIE,kobiety,8,104
ŚRÓDMIEŚCIE,mężczyźni,8,132
UJEŚCISKO-ŁOSTOWICE,kobiety,8,224
UJEŚCISKO-ŁOSTOWICE,mężczyźni,8,233
VII DWÓR,kobiety,8,11
VII DWÓR,mężczyźni,8,16
WRZESZCZ DOLNY,kobiety,8,91
WRZESZCZ DOLNY,mężczyźni,8,95
WRZESZCZ GÓRNY,kobiety,8,89
WRZESZCZ GÓRNY,mężczyźni,8,100
WYSPA SOBIESZEWSKA,kobiety,8,17
WYSPA SOBIESZEWSKA,mężczyźni,8,22
WZGÓRZE MICKIEWICZA,kobiety,8,12
WZGÓRZE MICKIEWICZA,mężczyźni,8,9
ZASPA MŁYNIEC,kobiety,8,59
ZASPA MŁYNIEC,mężczyźni,8,48
ZASPA ROZSTAJE,kobiety,8,57
ZASPA ROZSTAJE,mężczyźni,8,70
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,8,57
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,8,67
GDAŃSK,kobiety,8,2282
GDAŃSK,mężczyźni,8,2443
ANIOŁKI,kobiety,9,17
ANIOŁKI,mężczyźni,9,22
BRĘTOWO,kobiety,9,41
BRĘTOWO,mężczyźni,9,49
BRZEŹNO,kobiety,9,49
BRZEŹNO,mężczyźni,9,37
CHEŁM,kobiety,9,373
CHEŁM,mężczyźni,9,376
JASIEŃ,kobiety,9,121
JASIEŃ,mężczyźni,9,131
KOKOSZKI,kobiety,9,78
KOKOSZKI,mężczyźni,9,76
KRAKOWIEC-GÓRKI ZACHODNIE,kobiety,9,10
KRAKOWIEC-GÓRKI ZACHODNIE,mężczyźni,9,13
LETNICA,kobiety,9,7
LETNICA,mężczyźni,9,5
MATARNIA,kobiety,9,32
MATARNIA,mężczyźni,9,45
MŁYNISKA,kobiety,9,7
MŁYNISKA,mężczyźni,9,11
NOWY PORT,kobiety,9,58
NOWY PORT,mężczyźni,9,50
OLIWA,kobiety,9,71
OLIWA,mężczyźni,9,67
OLSZYNKA,kobiety,9,15
OLSZYNKA,mężczyźni,9,23
ORUNIA-ŚW.WOJCIECH-LIPCE,kobiety,9,57
ORUNIA-ŚW.WOJCIECH-LIPCE,mężczyźni,9,58
OSOWA,kobiety,9,95
OSOWA,mężczyźni,9,122
PIECKIIGOWO,kobiety,9,159
PIECKIIGOWO,mężczyźni,9,160
PRZERÓBKA,kobiety,9,15
PRZERÓBKA,mężczyźni,9,10
PRZYMORZE MAŁE,kobiety,9,76
PRZYMORZE MAŁE,mężczyźni,9,56
PRZYMORZE WIELKIE,kobiety,9,102
PRZYMORZE WIELKIE,mężczyźni,9,125
RUDNIKI,kobiety,9,7
RUDNIKI,mężczyźni,9,13
SIEDLCE,kobiety,9,63
SIEDLCE,mężczyźni,9,64
STOGI,kobiety,9,42
STOGI,mężczyźni,9,53
STRZYŻA,kobiety,9,33
STRZYŻA,mężczyźni,9,23
SUCHANINO,kobiety,9,42
SUCHANINO,mężczyźni,9,41
ŚRÓDMIEŚCIE,kobiety,9,114
ŚRÓDMIEŚCIE,mężczyźni,9,127
UJEŚCISKO-ŁOSTOWICE,kobiety,9,201
UJEŚCISKO-ŁOSTOWICE,mężczyźni,9,229
VII DWÓR,kobiety,9,15
VII DWÓR,mężczyźni,9,9
WRZESZCZ DOLNY,kobiety,9,122
WRZESZCZ DOLNY,mężczyźni,9,114
WRZESZCZ GÓRNY,kobiety,9,107
WRZESZCZ GÓRNY,mężczyźni,9,82
WYSPA SOBIESZEWSKA,kobiety,9,23
WYSPA SOBIESZEWSKA,mężczyźni,9,27
WZGÓRZE MICKIEWICZA,kobiety,9,11
WZGÓRZE MICKIEWICZA,mężczyźni,9,11
ZASPA MŁYNIEC,kobiety,9,57
ZASPA MŁYNIEC,mężczyźni,9,76
ZASPA ROZSTAJE,kobiety,9,61
ZASPA ROZSTAJE,mężczyźni,9,84
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,kobiety,9,68
ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA,mężczyźni,9,54
GDAŃSK,kobiety,9,2349
GDAŃSK,mężczyźni,9,2443
ANIOŁKI,kobiety,10,13
